,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
135,Mademoiselle,Sfera Ebbasta,352678,https://open.spotify.com/track/2aPnpV1hT7l3eP10uSGK6c,12/27/2019,1/3/2020,Italy
136,GANG GANG,JACKBOYS,349009,https://open.spotify.com/track/6uJONCdr2rC65BNmCnTBWK,12/27/2019,1/3/2020,Italy
137,Soldi,Mahmood,346526,https://open.spotify.com/track/4szQkW1CDHqbRZGltXJdd3,12/27/2019,1/3/2020,Italy
138,Tusa,KAROL G,346210,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,12/27/2019,1/3/2020,Italy
139,Domenica,Coez,345959,https://open.spotify.com/track/2tVNMtgZ2CQpTx7vgcuTkL,12/27/2019,1/3/2020,Italy
140,Playa,Baby K,345947,https://open.spotify.com/track/7bBIBrSmHvdMlTC7b9p8Vq,12/27/2019,1/3/2020,Italy
141,bubb1e 9um,tha Supreme,345872,https://open.spotify.com/track/06SzxHiKstZ859RmekMlJx,12/27/2019,1/3/2020,Italy
142,SPORT - I muscoli (feat. Luchè),Marracash,343885,https://open.spotify.com/track/3HVm4g9bZHo0aMsjzGS7Ro,12/27/2019,1/3/2020,Italy
143,Fuoco e benzina,Emis Killa,343583,https://open.spotify.com/track/4Fs1sEg9Mwn6vykFD89xvc,12/27/2019,1/3/2020,Italy
144,Narcos,Geolier,343406,https://open.spotify.com/track/1BdmcsFAODQR4x7eiOuRVf,12/27/2019,1/3/2020,Italy
145,Glock (feat. DrefGold & Giaime),Dark Polo Gang,342070,https://open.spotify.com/track/66lsHFgvKb6H28JRQ9vTPK,12/27/2019,1/3/2020,Italy
146,G.O.A.T. - Il cuore,Marracash,341492,https://open.spotify.com/track/50c3vq2uUkSV8QrcbcPWW3,12/27/2019,1/3/2020,Italy
147,Uno squillo,Capo Plaza,340756,https://open.spotify.com/track/7zivIUyCw9MmYftdcayXnN,12/27/2019,1/3/2020,Italy
148,Dilemme,Lous and The Yakuza,334197,https://open.spotify.com/track/34UANp5qxDg6YcgrlDeILZ,12/27/2019,1/3/2020,Italy
149,NON SONO MARRA - La pelle (feat. Mahmood),Marracash,332383,https://open.spotify.com/track/0pl6P6vTEB9pNABaD53SgS,12/27/2019,1/3/2020,Italy
150,Come Mai (feat. Franco126),Fabri Fibra,330098,https://open.spotify.com/track/0EwUmQctZ3I0BXtZqkAaMU,12/27/2019,1/3/2020,Italy
151,8rosk1 - feat. Mahmood,tha Supreme,327367,https://open.spotify.com/track/65OaFb3aPqlknH4WQXzHtF,12/27/2019,1/3/2020,Italy
152,Non Abbiamo Età,Luche,326025,https://open.spotify.com/track/0NwuXciw6eQc4edjwSBnV3,12/27/2019,1/3/2020,Italy
153,Sole a mezzanotte,Gio Montana,325409,https://open.spotify.com/track/41wB7yyQG8YR284muocSv0,12/27/2019,1/3/2020,Italy
154,BODY PARTS - I denti,Marracash,319425,https://open.spotify.com/track/4WOXQYfq3fYVRMcaXuHBAD,12/27/2019,1/3/2020,Italy
155,2% (feat. Frah Quintale),Guè Pequeno,317017,https://open.spotify.com/track/5ODlTG5qxhCsC05E36Rv25,12/27/2019,1/3/2020,Italy
156,Accetto Miracoli,Tiziano Ferro,315011,https://open.spotify.com/track/2dSimaa1gqyr0U0il3gMmd,12/27/2019,1/3/2020,Italy
157,D'estate non vale (feat. Ana Mena),Fred De Palma,312369,https://open.spotify.com/track/5IbiQAbMBe5T2K67mCAIx3,12/27/2019,1/3/2020,Italy
158,Courmayeur,DJ Matrix,312078,https://open.spotify.com/track/3ueGWDwh5tMsoKjxJnUFcB,12/27/2019,1/3/2020,Italy
159,Lose You To Love Me,Selena Gomez,311505,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,12/27/2019,1/3/2020,Italy
160,Autostima,PSICOLOGI,311254,https://open.spotify.com/track/5qf1k7zubHxjR3uinHmIKg,12/27/2019,1/3/2020,Italy
161,Whine Up,Nicky Jam,310124,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0,12/27/2019,1/3/2020,Italy
162,Brivido,Guè Pequeno,308374,https://open.spotify.com/track/7fH13hSOyNoeiDGbjEnTUC,12/27/2019,1/3/2020,Italy
163,Esagono (feat. Salmo),Gemitaiz,306956,https://open.spotify.com/track/0Rsfm3UqHkNzKsb6L0Yz3Y,12/27/2019,1/3/2020,Italy
164,CAMOSCIO,FSK SATELLITE,304850,https://open.spotify.com/track/3ea1FY9QRqgbwIRYKwZr2A,12/27/2019,1/3/2020,Italy
165,Rip RMX (feat. Shiva),Side Baby,302627,https://open.spotify.com/track/7xwOv1FJd8iqnCoj3BDjpV,12/27/2019,1/3/2020,Italy
166,parano1a k1d - feat. Fabri Fibra,tha Supreme,301182,https://open.spotify.com/track/2lcX7to2eZFOkVCJjSwdAz,12/27/2019,1/3/2020,Italy
167,"YOSHI (feat. tha Supreme, Fabri Fibra & Capo Plaza) - prod. Strage [Remix]",MACHETE,298420,https://open.spotify.com/track/0VU34EBWTAlHVIZE3aWlZA,12/27/2019,1/3/2020,Italy
168,CORNFLAKES,COMETE,297526,https://open.spotify.com/track/1VLZV4idlXeZvpisIvoGMk,12/27/2019,1/3/2020,Italy
169,Sweet but Psycho,Ava Max,296993,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,12/27/2019,1/3/2020,Italy
170,A DOMANI PER SEMPRE,Sofia Tornambene,295340,https://open.spotify.com/track/47LHVzNyaNQvjvhgn2GVYN,12/27/2019,1/3/2020,Italy
171,Lucid Dreams,Juice WRLD,294681,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,12/27/2019,1/3/2020,Italy
172,Sogni appesi,Ultimo,294640,https://open.spotify.com/track/2HgBmx6tfhRO417ahshpeQ,12/27/2019,1/3/2020,Italy
173,"Testa tra le nuvole, Pt. 1",Alfa,292103,https://open.spotify.com/track/208GsvgqNqRSaJP4ru5pVG,12/27/2019,1/3/2020,Italy
174,Mambo (feat. Sick Luke),Nicola Siciliano,292023,https://open.spotify.com/track/4ibUxNAjSdg19dYEMlisTy,12/27/2019,1/3/2020,Italy
175,Calma - Remix,Pedro Capó,291084,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,12/27/2019,1/3/2020,Italy
